review_id,type,reason,timestamp,track_id,predicted_player_id,predicted_name,confidence,frame_image
identity_0042,identity,low_identity_confidence,04:54,3245,红队_jyn,JYN,0.47,matches/中青赛_1_20260506_213657/review/human_review/frames/identity_0042.jpg
identity_0043,identity,low_identity_confidence,05:22,3578,红队_jyn,JYN,0.47,matches/中青赛_1_20260506_213657/review/human_review/frames/identity_0043.jpg
identity_0044,identity,low_identity_confidence,05:14,3425,红队_jyn,JYN,0.473,matches/中青赛_1_20260506_213657/review/human_review/frames/identity_0044.jpg
identity_0045,identity,low_identity_confidence,05:26,3517,红队_zmc,ZMC,0.473,matches/中青赛_1_20260506_213657/review/human_review/frames/identity_0045.jpg
identity_0046,identity,low_identity_confidence,09:05,6251,红队_lxy,LXY,0.473,matches/中青赛_1_20260506_213657/review/human_review/frames/identity_0046.jpg
identity_0047,identity,low_identity_confidence,00:18,38,红队_jyn,JYN,0.477,matches/中青赛_1_20260506_213657/review/human_review/frames/identity_0047.jpg
identity_0048,identity,low_identity_confidence,00:02,12,红队_zmc,ZMC,0.48,matches/中青赛_1_20260506_213657/review/human_review/frames/identity_0048.jpg
identity_0049,identity,low_identity_confidence,08:26,5651,红队_jyn,JYN,0.48,matches/中青赛_1_20260506_213657/review/human_review/frames/identity_0049.jpg
identity_0050,identity,low_identity_confidence,00:03,9,红队_lxy,LXY,0.483,matches/中青赛_1_20260506_213657/review/human_review/frames/identity_0050.jpg
identity_0051,identity,low_identity_confidence,01:42,1192,红队_jyn,JYN,0.483,matches/中青赛_1_20260506_213657/review/human_review/frames/identity_0051.jpg
identity_0052,identity,low_identity_confidence,04:26,2836,红队_tyx,TYX,0.483,matches/中青赛_1_20260506_213657/review/human_review/frames/identity_0052.jpg
identity_0053,identity,low_identity_confidence,07:59,5499,红队_jyn,JYN,0.483,matches/中青赛_1_20260506_213657/review/human_review/frames/identity_0053.jpg
identity_0054,identity,low_identity_confidence,00:06,10,红队_lxy,LXY,0.487,matches/中青赛_1_20260506_213657/review/human_review/frames/identity_0054.jpg
identity_0055,identity,low_identity_confidence,01:38,1136,红队_jyn,JYN,0.487,matches/中青赛_1_20260506_213657/review/human_review/frames/identity_0055.jpg
identity_0056,identity,low_identity_confidence,02:35,1556,红队_tyx,TYX,0.487,matches/中青赛_1_20260506_213657/review/human_review/frames/identity_0056.jpg
identity_0057,identity,low_identity_confidence,01:54,1235,红队_zmc,ZMC,0.49,matches/中青赛_1_20260506_213657/review/human_review/frames/identity_0057.jpg
identity_0058,identity,low_identity_confidence,03:47,2390,红队_lxy,LXY,0.49,matches/中青赛_1_20260506_213657/review/human_review/frames/identity_0058.jpg
identity_0059,identity,low_identity_confidence,04:02,2721,红队_tyx,TYX,0.49,matches/中青赛_1_20260506_213657/review/human_review/frames/identity_0059.jpg
identity_0060,identity,low_identity_confidence,03:56,2728,红队_tyx,TYX,0.493,matches/中青赛_1_20260506_213657/review/human_review/frames/identity_0060.jpg
