review_id,frame_idx,timestamp_sec,timestamp,reason,system_ball_visible,system_ball_confidence,frame_image
ball_0047,8220,137.0,02:17,ball_detection_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0047.jpg
ball_0048,8280,138.0,02:18,ball_detection_window,True,0.343,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0048.jpg
ball_0049,8340,139.0,02:19,ball_detection_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0049.jpg
ball_0050,8400,140.0,02:20,ball_detection_window,True,0.273,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0050.jpg
ball_0051,8460,141.0,02:21,ball_detection_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0051.jpg
ball_0052,8520,142.0,02:22,ball_detection_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0052.jpg
ball_0053,8580,143.0,02:23,ball_detection_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0053.jpg
ball_0054,8640,144.0,02:24,key_timestamp_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0054.jpg
ball_0055,8700,145.0,02:25,key_timestamp_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0055.jpg
ball_0056,8760,146.0,02:26,key_timestamp_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0056.jpg
ball_0057,8820,147.0,02:27,key_timestamp_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0057.jpg
ball_0058,9030,150.5,02:30,key_timestamp_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0058.jpg
ball_0059,9090,151.5,02:32,key_timestamp_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0059.jpg
ball_0060,9150,152.5,02:32,key_timestamp_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0060.jpg
ball_0061,10830,180.5,03:00,ball_detection_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0061.jpg
ball_0062,10890,181.5,03:02,ball_detection_window,True,0.333,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0062.jpg
ball_0063,10950,182.5,03:02,ball_detection_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0063.jpg
ball_0064,11010,183.5,03:04,ball_detection_window,True,0.271,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0064.jpg
ball_0065,11070,184.5,03:04,ball_detection_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0065.jpg
ball_0066,11790,196.5,03:16,key_timestamp_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0066.jpg
ball_0067,11850,197.5,03:18,key_timestamp_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0067.jpg
ball_0068,11910,198.5,03:18,key_timestamp_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0068.jpg
ball_0069,11970,199.5,03:20,key_timestamp_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0069.jpg
ball_0070,12030,200.5,03:20,key_timestamp_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0070.jpg
ball_0071,12090,201.5,03:22,key_timestamp_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0071.jpg
ball_0072,14460,241.0,04:01,key_timestamp_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0072.jpg
ball_0073,14520,242.0,04:02,key_timestamp_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0073.jpg
ball_0074,14580,243.0,04:03,key_timestamp_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0074.jpg
ball_0075,14820,247.0,04:07,key_timestamp_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0075.jpg
ball_0076,14880,248.0,04:08,key_timestamp_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0076.jpg
ball_0077,14940,249.0,04:09,key_timestamp_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0077.jpg
ball_0078,15000,250.0,04:10,key_timestamp_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0078.jpg
ball_0079,15150,252.5,04:12,key_timestamp_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0079.jpg
ball_0080,15210,253.5,04:14,key_timestamp_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0080.jpg
ball_0081,15270,254.5,04:14,key_timestamp_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0081.jpg
ball_0082,15840,264.0,04:24,key_timestamp_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0082.jpg
ball_0083,15900,265.0,04:25,key_timestamp_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0083.jpg
ball_0084,15960,266.0,04:26,key_timestamp_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0084.jpg
ball_0085,16020,267.0,04:27,key_timestamp_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0085.jpg
ball_0086,16110,268.5,04:28,key_timestamp_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0086.jpg
ball_0087,16170,269.5,04:30,key_timestamp_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0087.jpg
ball_0088,16230,270.5,04:30,key_timestamp_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0088.jpg
ball_0089,16380,273.0,04:33,ball_detection_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0089.jpg
ball_0090,16440,274.0,04:34,ball_detection_window,True,0.319,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0090.jpg
ball_0091,16500,275.0,04:35,ball_detection_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0091.jpg
ball_0092,16560,276.0,04:36,ball_detection_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0092.jpg
ball_0093,16620,277.0,04:37,ball_detection_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0093.jpg
ball_0094,16680,278.0,04:38,ball_detection_window,True,0.256,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0094.jpg
ball_0095,16740,279.0,04:39,ball_detection_window,True,0.286,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0095.jpg
ball_0096,16800,280.0,04:40,ball_detection_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0096.jpg
ball_0097,16860,281.0,04:41,ball_detection_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0097.jpg
ball_0098,16920,282.0,04:42,ball_detection_window,True,0.372,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0098.jpg
ball_0099,16980,283.0,04:43,ball_detection_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0099.jpg
ball_0100,17040,284.0,04:44,ball_detection_window,True,0.263,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0100.jpg
ball_0101,17100,285.0,04:45,ball_detection_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0101.jpg
ball_0102,17190,286.5,04:46,ball_detection_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0102.jpg
ball_0103,17250,287.5,04:48,ball_detection_window,True,0.292,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0103.jpg
ball_0104,17310,288.5,04:48,ball_detection_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0104.jpg
ball_0105,17400,290.0,04:50,ball_detection_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0105.jpg
ball_0106,17460,291.0,04:51,ball_detection_window,True,0.294,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0106.jpg
ball_0107,17520,292.0,04:52,ball_detection_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0107.jpg
ball_0108,17580,293.0,04:53,ball_detection_window,True,0.301,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0108.jpg
ball_0109,17640,294.0,04:54,ball_detection_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0109.jpg
ball_0110,17700,295.0,04:55,ball_detection_window,True,0.399,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0110.jpg
ball_0111,17760,296.0,04:56,ball_detection_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0111.jpg
ball_0112,17820,297.0,04:57,ball_detection_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0112.jpg
ball_0113,17880,298.0,04:58,ball_detection_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0113.jpg
ball_0114,17970,299.5,05:00,ball_detection_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0114.jpg
ball_0115,18030,300.5,05:00,ball_detection_window,True,0.252,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0115.jpg
ball_0116,18090,301.5,05:02,ball_detection_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0116.jpg
ball_0117,18150,302.5,05:02,ball_detection_window,True,0.322,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0117.jpg
ball_0118,18210,303.5,05:04,ball_detection_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0118.jpg
ball_0119,18270,304.5,05:04,ball_detection_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0119.jpg
ball_0120,18330,305.5,05:06,ball_detection_window,False,0.0,matches/中青赛_1_20260506_213657/review/ball_review/frames/ball_0120.jpg
